,Alpaca 7B,BERT,Baichuan 2 7B Chat,ChatGLM2 6B,ChatGPT,Claude 1,Claude 2,Claude 3,Claude 3 Opus,Claude 3.5,Claude 3.5 Sonnet,Claude 4,Claude 4.5,DALL-E 3,DeepSeek,DeepSeek R1,DeepSeek V3,Falcon 7B,Falcon 7B Instruct,GLM 4 9B Chat,GPT-2,GPT-3.5,GPT-3.5 Turbo,GPT-4,GPT-4 Turbo,GPT-4o,GPT-4o Mini,GPT-5,Gemini,Gemini 1.5,Gemini 1.5 Pro,Gemini 2,Gemini Pro,Gemma,Gemma 2,Gemma 3,Gemma 4B,Gemma 7B,Gemma 7B IT,Grok 2,Guanaco 7B,InstructBLIP,LLaVA,LLaVA 1.5,LLaVA 7B,Llama,Llama 2,Llama 2 13B,Llama 2 70B,Llama 2 7B,Llama 3,Llama 3 70B,Llama 3 8B,Llama 3.1,Llama 3.2,Llama 3.3,Llama 4,Llama 7B,Llama Guard,Llama Guard 2 8B,Llama Guard 3 8B,Mistral,Mistral 7B,Mixtral,Mixtral 8x7B,Mixtral 8x7B 8X7B,Mixtral 8x7B Instruct,PaLM 2,Phi,Qwen 2,Qwen 2.5,Qwen 3 8B,Qwen 7B,Qwen Max,Stable Diffusion,Vicuna,o1,o3,o3-mini,o4-mini
Alpaca 7B,1.0,0.5,0.7071067811865475,0.0,0.4082482904638631,0.7559289460184544,0.7844645405527362,0.48189987357505987,0.8728715609439696,0.2738612787525831,0.670820393249937,0.3380617018914066,0.0,0.0,0.19462473604038072,0.5039526306789697,0.24253562503633297,0.0,0.0,0.5,0.4472135954999579,0.18033392693348646,0.6604581866838264,0.3912442126067874,0.7905694150420948,0.42383180770441947,0.6963106238227913,0.18333969940564224,0.38490017945975047,0.5345224838248488,0.625,0.25855089930359126,0.20851441405707474,0.3535533905932738,0.7006490497453707,0.7559289460184544,0.4082482904638631,0.0,0.9486832980505138,0.0,0.2886751345948128,0.0,0.0,0.0,0.0,0.0,0.8131433980500302,0.5855400437691198,0.16903085094570333,0.4498234510602419,0.4681645887845223,0.5477225575051661,0.693687975619296,0.5507427126572114,0.1684303842133038,0.1889822365046136,0.19611613513818402,0.0,0.5,0.0,0.0,0.5298129428260175,0.5345224838248488,0.5,0.0,0.0,0.5,0.0,0.25819888974716115,0.227429413073671,0.3168621252622389,0.0,0.0,0.3779644730092272,0.0,0.6660157693088523,0.0,0.0,0.0,0.0
BERT,0.5,1.0,0.7071067811865475,0.0,0.20412414523193154,0.5669467095138407,0.4902903378454601,0.34421419541075704,0.4364357804719848,0.22821773229381923,0.3354101966249685,0.42257712736425823,0.0,0.0,0.19462473604038072,0.629940788348712,0.48507125007266594,0.15811388300841897,0.15811388300841897,0.25,0.22360679774997896,0.22541740866685805,0.6274352773496351,0.4717944916728906,0.4743416490252569,0.36328440660378813,0.6092717958449424,0.09166984970282112,0.19245008972987523,0.46770717334674267,0.4375,0.20314713516710742,0.20851441405707474,0.3535533905932738,0.5060243137049899,0.5669467095138407,0.20412414523193154,0.0,0.4743416490252569,0.0,0.2886751345948128,0.0,0.0,0.15075567228888181,0.0,0.0,0.5174548896682011,0.48795003647426655,0.42257712736425834,0.4498234510602419,0.409644015186457,0.4564354645876384,0.5202659817144719,0.34421419541075715,0.1684303842133038,0.14173667737846019,0.09805806756909201,0.0,0.5,0.5669467095138407,0.28867513459481287,0.5298129428260175,0.45434411125112145,0.25,0.3535533905932738,0.22360679774997896,0.5,0.5773502691896257,0.32274861218395146,0.1137147065368355,0.2534897002097911,0.20412414523193154,0.22360679774997896,0.3779644730092272,0.1443375672974064,0.559453246219436,0.1348399724926484,0.1690308509457033,0.0,0.0
Baichuan 2 7B Chat,0.7071067811865475,0.7071067811865475,0.9999999999999998,0.0,0.2886751345948129,0.801783725737273,0.6933752452815364,0.34075466845786473,0.6172133998483676,0.19364916731037085,0.47434164902525694,0.2390457218668787,0.0,0.0,0.16514456476895406,0.5345224838248488,0.34299717028501764,0.0,0.22360679774997896,0.35355339059327373,0.3162277660168379,0.12751534261266764,0.747223139990887,0.43938757456028044,0.6708203932499368,0.3567789825123188,0.6154574548966636,0.12964074471043285,0.2721655269759086,0.472455591261534,0.5303300858899106,0.18282309417944959,0.2948839123097942,0.25,0.6055300708194983,0.5345224838248487,0.2886751345948129,0.0,0.6708203932499368,0.0,0.40824829046386285,0.0,0.0,0.0,0.0,0.0,0.6795208855361117,0.6210590034081187,0.47809144373375745,0.6072306785645522,0.49656353316142077,0.6454972243679027,0.6131393394849657,0.4381131451601119,0.11909826683508273,0.13363062095621217,0.13867504905630726,0.0,0.7071067811865475,0.5345224838248487,0.0,0.5619514869490163,0.529150262212918,0.35355339059327373,0.25,0.0,0.7071067811865475,0.0,0.2738612787525831,0.1608168802256692,0.2688664289689324,0.0,0.3162277660168379,0.26726124191242434,0.20412414523193143,0.734673056294525,0.0,0.0,0.0,0.0
ChatGLM2 6B,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.18257418583505539,0.0,0.0,0.1203858530857692,0.0,0.11677484162422845,0.0,0.0,0.0,0.0,0.0,0.4472135954999579,0.2705008904002297,0.06604581866838263,0.13808619268474848,0.0,0.1210948022012627,0.0,0.18333969940564224,0.0,0.1336306209562122,0.0,0.03693584275765589,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07392212709545729,0.0,0.0,0.040893041005476534,0.23408229439226114,0.18257418583505536,0.13006649542861798,0.0,0.0,0.0944911182523068,0.19611613513818402,0.0,0.0,0.0,0.0,0.0,0.10690449676496976,0.0,0.0,0.4472135954999579,0.0,0.0,0.0,0.07580980435789034,0.03168621252622389,0.0,0.0,0.0,0.0,0.0,0.0,0.1690308509457033,0.0,0.0
ChatGPT,0.4082482904638631,0.20412414523193154,0.2886751345948129,0.0,1.0000000000000002,0.6172133998483676,0.5604485383178051,0.3653646277575727,0.35634832254989923,0.11180339887498951,0.45643546458763856,0.20701966780270628,0.0,0.0,0.20658356100321168,0.36004114991154784,0.19802950859533489,0.0,0.0,0.6123724356957946,0.36514837167011077,0.22086305214969312,0.5257803049912433,0.39461416470148514,0.5809475019311126,0.3790150525342261,0.39086797998528583,0.11227217828476796,0.4714045207910317,0.38188130791298674,0.408248290463863,0.24126391460248123,0.4256282653793743,0.14433756729740646,0.47673129462279623,0.3086066999241838,0.1666666666666667,0.0,0.3872983346207417,0.0,0.2357022603955158,0.0,0.0,0.0,0.0,0.4082482904638631,0.4225001481984199,0.39840953644479793,0.2070196678027063,0.40066833797650675,0.5733821790809961,0.37267799624996495,0.4247953952428733,0.43562705617249065,0.20628424925175876,0.27003086243366087,0.16012815380508713,0.5773502691896258,0.4082482904638631,0.0,0.0,0.43259045634870014,0.4146139914483856,0.4082482904638631,0.0,0.0,0.4082482904638631,0.0,0.36893239368631103,0.5880352375606642,0.3104602102825331,0.0,0.0,0.1543033499620919,0.0,0.47854364666647187,0.1651445647689541,0.06900655593423542,0.0,0.10369516947304253
Claude 1,0.7559289460184544,0.5669467095138407,0.801783725737273,0.0,0.6172133998483676,0.9999999999999998,0.8894991799933214,0.4943828004887434,0.659828879073858,0.20701966780270628,0.6338656910463875,0.2555506259999759,0.0,0.0,0.25010820169301234,0.619047619047619,0.27500954910846337,0.0,0.11952286093343936,0.5669467095138407,0.3380617018914066,0.23855936180684892,0.8112966240423922,0.5567112005113767,0.8366600265340753,0.4348105644324902,0.6908492797077573,0.13859178573504738,0.5091750772173155,0.5050762722761054,0.6614378277661476,0.23732741783183456,0.5516772843673703,0.2672612419124244,0.7061878636037996,0.5714285714285713,0.3086066999241838,0.0,0.7171371656006361,0.0,0.4364357804719846,0.0,0.0,0.0,0.0,0.1889822365046136,0.7264383830952463,0.6639400022069857,0.447213595499958,0.6337007844285659,0.7077983283260941,0.6210590034081187,0.6718603634780737,0.5724432426711766,0.22281245492773064,0.24999999999999994,0.22237479499833032,0.5345224838248487,0.5669467095138407,0.28571428571428564,0.0,0.6508140266182865,0.565685424949238,0.5669467095138407,0.1336306209562122,0.0,0.5669467095138407,0.0,0.34156502553198664,0.34384095303675166,0.2994065654783146,0.0,0.1690308509457033,0.28571428571428564,0.10910894511799615,0.8156061696110035,0.15289415743128762,0.06388765649999398,0.0,0.04800153607373192
Claude 2,0.7844645405527362,0.4902903378454601,0.6933752452815364,0.0,0.5604485383178051,0.8894991799933214,1.0000000000000002,0.6615583851038417,0.6847367880174607,0.3759603088707023,0.8112786678590023,0.4640954808922571,0.18887686585995425,0.0,0.36642288993147554,0.6671243849949912,0.33295604590814587,0.0,0.062017367294604234,0.6864064729836441,0.43852900965351466,0.4067135170216009,0.8872565729007161,0.6815367490361995,0.8682431421244592,0.6135066519867246,0.8193464903987027,0.32360285938347877,0.5661385170722979,0.5765566601970551,0.7599500236604632,0.405648024863377,0.613395615082148,0.41602514716892186,0.7633810206905741,0.667124384994991,0.4003203845127179,0.14824986333222026,0.7442084075352507,0.0,0.39629696195060843,0.0,0.0,0.0,0.0,0.19611613513818404,0.7683580589592001,0.7846979774097266,0.49724515809884695,0.6816817382635136,0.7574706955280663,0.7161148740394329,0.7907522902272942,0.7695679173656936,0.34683511791340177,0.42621835708013317,0.4230769230769231,0.41602514716892186,0.5883484054145521,0.22237479499833035,0.11322770341445958,0.7533102835258901,0.6709022955020277,0.6864064729836441,0.1386750490563073,0.08770580193070293,0.4902903378454601,0.11322770341445958,0.5063696835418333,0.4460257750875395,0.49713420302481154,0.24019223070763074,0.08770580193070293,0.29649972666444047,0.056613851707229775,0.7680246590734665,0.26444294267397256,0.23204774044612855,0.14824986333222023,0.19925419255468715
Claude 3,0.48189987357505987,0.34421419541075704,0.34075466845786473,0.0,0.3653646277575727,0.4943828004887434,0.6615583851038417,0.9999999999999998,0.5708640858897941,0.7604199804078502,0.7619894763612605,0.7563766386523213,0.6381532012048371,0.048199628247340864,0.8173096824626815,0.6851972147124689,0.4842083891758932,0.021770017209205402,0.0,0.48189987357505987,0.3078745359035395,0.6331496751596574,0.6365494333290984,0.695540298856883,0.6422155076715593,0.8016943765664134,0.6411440030364578,0.807784027107369,0.4107131273172015,0.5611701914311257,0.6367962615099004,0.7679160203573437,0.38757755483748774,0.21905657258005595,0.627050707200877,0.7545842744301872,0.44967954185547415,0.07806044218243319,0.5442504302301351,0.27537135632860565,0.21860537421722007,0.024172334587240843,0.02352656269951951,0.08302758790484034,0.024172334587240843,0.17210709770537852,0.5496129828262344,0.5643433461309477,0.2792775281177802,0.4307245353525355,0.5559636955065395,0.6284462647998761,0.5999278365897058,0.8720379146919429,0.44061858180377356,0.7285641270360428,0.702061959702036,0.2433961917556177,0.585164132198287,0.39030221091216577,0.5961964751378731,0.7112396297489458,0.6402859889115794,0.4130570344929084,0.2677358109311795,0.3694494430842475,0.37863561495183273,0.4769571801102985,0.4888164769964841,0.31835669189783716,0.6914939191308211,0.5620994273193427,0.1847247215421237,0.4163223583063102,0.0596196475137873,0.49518449747320964,0.6590764234988713,0.6981938202944504,0.7285641270360428,0.6994439445189525
Claude 3 Opus,0.8728715609439696,0.4364357804719848,0.6172133998483676,0.0,0.35634832254989923,0.659828879073858,0.6847367880174607,0.5708640858897941,1.0,0.31872762915583835,0.6831300510639734,0.44262666813799045,0.0,0.061113233135214086,0.17837651700316892,0.49487165930539356,0.42340489921997054,0.0,0.0,0.4364357804719848,0.39036002917941326,0.15740835629358807,0.5837013579532969,0.3867052630259606,0.7590721152765896,0.43601336220592185,0.6457765999379483,0.28005601680560194,0.3359684204526464,0.4665694748158435,0.6546536707079772,0.24180185041992086,0.18200630207731602,0.3086066999241839,0.6795295885835008,0.8247860988423225,0.35634832254989923,0.0,0.9660917830792959,0.4364357804719848,0.2519763153394848,0.0,0.0,0.0,0.0,0.0,0.7097697471272134,0.6388765649999398,0.295084445425327,0.4283324704103527,0.4086475553910376,0.6374552583116766,0.6338833423096996,0.6459777814016093,0.3675452309466476,0.24743582965269675,0.17118419700436516,0.0,0.4364357804719848,0.1649572197684645,0.25197631533948484,0.520265981714472,0.5482191329086161,0.4364357804719848,0.3086066999241839,0.0,0.6546536707079772,0.0,0.28171808490950556,0.19851666679418606,0.32498142701096705,0.0,0.0,0.659828879073858,0.0,0.5813462241699167,0.11769797726729993,0.0,0.1649572197684645,0.0
Claude 3.5,0.2738612787525831,0.22821773229381923,0.19364916731037085,0.18257418583505539,0.11180339887498951,0.20701966780270628,0.3759603088707023,0.7604199804078502,0.31872762915583835,1.0,0.5409289848646186,0.7560864148142504,0.780266893518348,0.03834824944236852,0.74975585251723,0.48304589153964805,0.28782483780053103,0.02886751345948129,0.0,0.13693063937629155,0.28577380332470415,0.6255620778780734,0.40998089342044847,0.7038063632084149,0.3031088913245535,0.8567154156791636,0.4846768161998428,0.8786687791935093,0.4216370213557839,0.6831300510639733,0.43361369135825656,0.8935179130984113,0.19034674690672024,0.12909944487358058,0.4264014327112209,0.5865557254410011,0.7826237921249265,0.03450327796711772,0.3175426480542942,0.18257418583505539,0.07905694150420947,0.4594268814084899,0.46015177862026846,0.24771684715343115,0.4594268814084899,0.22821773229381923,0.37789562075016087,0.4098005709323841,0.12344267996967355,0.2949075398818294,0.33121472845728345,0.45,0.4551467030565619,0.6787219659838665,0.5381432046835164,0.7676979347683691,0.7161148740394329,0.0,0.5020790110464023,0.37953605763829484,0.579750904364203,0.5078333750770082,0.541624540486436,0.13693063937629155,0.19364916731037088,0.5307227776030219,0.22821773229381925,0.5270462766947299,0.400693842672377,0.2560568962156982,0.7925565702215448,0.6335525936249405,0.36742346141747667,0.2760262237369417,0.21081851067789192,0.41586272097526145,0.46774766572146437,0.7560864148142505,0.7590721152765897,0.730388760822265
