,Alpaca 7B,BERT,Baichuan 2 7B Chat,ChatGLM2 6B,ChatGPT,Claude 1,Claude 2,Claude 3,Claude 3 Opus,Claude 3.5,Claude 3.5 Sonnet,Claude 4,Claude 4.5,DALL-E 3,DeepSeek,DeepSeek R1,DeepSeek V3,Falcon 7B,Falcon 7B Instruct,GLM 4 9B Chat,GPT-2,GPT-3.5,GPT-3.5 Turbo,GPT-4,GPT-4 Turbo,GPT-4o,GPT-4o Mini,GPT-5,Gemini,Gemini 1.5,Gemini 1.5 Pro,Gemini 2,Gemini Pro,Gemma,Gemma 2,Gemma 3,Gemma 4B,Gemma 7B,Gemma 7B IT,Grok 2,Guanaco 7B,InstructBLIP,LLaVA,LLaVA 1.5,LLaVA 7B,Llama,Llama 2,Llama 2 13B,Llama 2 70B,Llama 2 7B,Llama 3,Llama 3 70B,Llama 3 8B,Llama 3.1,Llama 3.2,Llama 3.3,Llama 4,Llama 7B,Llama Guard,Llama Guard 2 8B,Llama Guard 3 8B,Mistral,Mistral 7B,Mixtral,Mixtral 8x7B,Mixtral 8x7B 8X7B,Mixtral 8x7B Instruct,PaLM 2,Phi,Qwen 2,Qwen 2.5,Qwen 3 8B,Qwen 7B,Qwen Max,Stable Diffusion,Vicuna,o1,o3,o3-mini,o4-mini
Alpaca 7B,0.99999994,0.89934546,0.9347025,0.911224,0.95409316,0.9028951,0.9378893,0.9354537,0.92322004,0.9309254,0.9473999,0.9200171,0.9027453,0.7937032,0.92702657,0.9408423,0.931059,0.91768795,0.9300706,0.9136157,0.9470392,0.9442547,0.9553053,0.95167315,0.94698054,0.9462642,0.9509815,0.9235474,0.94447476,0.9406102,0.937733,0.92961156,0.93784815,0.90916497,0.94882196,0.90754396,0.88054997,0.93270147,0.9427977,0.8790857,0.9297505,0.8406893,0.8363755,0.8323311,0.8539273,0.9214774,0.94548106,0.9591976,0.93655664,0.9586695,0.9495073,0.9488226,0.9575149,0.95254076,0.94754136,0.93614686,0.914083,0.93870294,0.91034657,0.8868963,0.93777186,0.9454221,0.959145,0.91275173,0.92902213,0.88156253,0.9219717,0.85144883,0.94778323,0.94338554,0.9434747,0.88972986,0.9249218,0.9253932,0.8588141,0.9566598,0.9238785,0.9184973,0.8912962,0.89227283
BERT,0.89934546,1.0000011,0.9171706,0.9136045,0.9241885,0.89921105,0.9385348,0.9451083,0.91042244,0.9403181,0.9446898,0.92637116,0.90550935,0.8288482,0.93546486,0.9402831,0.9560374,0.88016415,0.88555884,0.91350377,0.92739683,0.935574,0.9474351,0.9515723,0.9308292,0.9515996,0.9503672,0.92419136,0.93361217,0.9451353,0.93534696,0.9452035,0.93578815,0.88157547,0.93337446,0.92679524,0.847035,0.9155773,0.9137614,0.8956873,0.90389,0.8575485,0.84801805,0.8658088,0.86087906,0.94941187,0.94012773,0.940115,0.9237418,0.93739825,0.94095516,0.94406205,0.94270796,0.9434774,0.93176687,0.9270315,0.92363197,0.90349394,0.9152608,0.903762,0.9203158,0.9379384,0.9448569,0.887567,0.91588753,0.8798938,0.8922561,0.9273971,0.93936634,0.9381879,0.940411,0.90729374,0.91469455,0.92150396,0.88706535,0.94050896,0.9260991,0.9340476,0.9020568,0.90846944
Baichuan 2 7B Chat,0.9347025,0.9171706,1.0000011,0.952317,0.9434347,0.93518776,0.9591186,0.9529037,0.92963785,0.9452552,0.96508783,0.942555,0.920776,0.79478097,0.9461058,0.96134603,0.9498066,0.90104264,0.93804276,0.9439518,0.95730674,0.9536824,0.9685214,0.9658929,0.9618797,0.960291,0.96394885,0.9359328,0.9480312,0.9529345,0.95276046,0.9477737,0.96079755,0.9040288,0.95559996,0.93750226,0.87300193,0.93674034,0.9465259,0.92059535,0.9398042,0.84567994,0.8291681,0.85492456,0.85095596,0.92651534,0.9605738,0.9631937,0.9576497,0.9650121,0.9626611,0.9653666,0.96205443,0.96495956,0.9445761,0.9478152,0.9252642,0.9271223,0.91563123,0.90415174,0.94558865,0.96456814,0.9642196,0.92768925,0.94691104,0.8831444,0.9374187,0.8764265,0.9518707,0.94693196,0.9517218,0.90986776,0.9409598,0.93269753,0.8683321,0.9642886,0.94246304,0.9312594,0.911542,0.913167
ChatGLM2 6B,0.911224,0.9136045,0.952317,1.0000007,0.93732643,0.9076105,0.94098854,0.9497263,0.92256874,0.93847334,0.95223105,0.92724204,0.92063355,0.7654271,0.94105446,0.94328654,0.9324366,0.8880207,0.90594417,0.9109823,0.9559224,0.94663715,0.9507346,0.95243895,0.947637,0.950195,0.9491633,0.9341082,0.9299876,0.9440083,0.94303966,0.94200516,0.942898,0.8954763,0.9378129,0.92073756,0.86938965,0.9129393,0.9237476,0.90174747,0.9048178,0.8268555,0.8155252,0.8257753,0.83747303,0.91509444,0.9386586,0.9394587,0.9259473,0.94263804,0.9472865,0.95164984,0.94444346,0.94943756,0.9345339,0.9407812,0.9200355,0.914345,0.89544934,0.8717251,0.9273588,0.9436568,0.94897294,0.9085319,0.94150597,0.90814316,0.91425514,0.8830022,0.9422371,0.92969316,0.93874305,0.90509576,0.9278326,0.92436486,0.8485068,0.941501,0.94665307,0.93577844,0.90976876,0.9194636
ChatGPT,0.95409316,0.9241885,0.9434347,0.93732643,1.0000004,0.9369408,0.97051674,0.9631248,0.95575255,0.95244694,0.9699856,0.9418008,0.9309524,0.81609464,0.9494478,0.9591169,0.9523993,0.9271128,0.93811774,0.92629397,0.9713376,0.9631611,0.97916067,0.9761577,0.97188956,0.97104824,0.9725733,0.94235384,0.9698935,0.9679258,0.9656649,0.9528208,0.9661901,0.9304216,0.96649694,0.9217656,0.9021884,0.9488409,0.9623332,0.9109276,0.95251703,0.86504924,0.8570905,0.86634535,0.87563497,0.94500047,0.9747027,0.9721579,0.9575635,0.97604924,0.9743433,0.969606,0.9736043,0.9729587,0.96494746,0.95624083,0.9363806,0.9424207,0.93268704,0.9055772,0.9537402,0.9733546,0.9774966,0.9353634,0.9510749,0.90200984,0.9525584,0.89213604,0.96673733,0.96693426,0.9643919,0.88886756,0.9438435,0.9484173,0.8794934,0.97630465,0.94412947,0.9340444,0.9122917,0.91124773
Claude 1,0.9028951,0.89921105,0.93518776,0.9076105,0.9369408,1.0000005,0.9716894,0.9452573,0.9296681,0.92733574,0.9596785,0.9318543,0.90487975,0.7911807,0.93370765,0.9535502,0.9396881,0.8899664,0.92554104,0.9316405,0.95017207,0.9406585,0.96578616,0.9568913,0.9603688,0.9498748,0.95374036,0.91416097,0.93810934,0.94683325,0.9480378,0.93082273,0.9562738,0.8902855,0.94254416,0.9224833,0.85123795,0.9169085,0.9542089,0.9356373,0.9521266,0.82310265,0.8034251,0.8463268,0.82689893,0.9127952,0.96031266,0.9532028,0.946564,0.9602296,0.9578396,0.95818114,0.95424956,0.95313317,0.92745125,0.9310088,0.9107686,0.90322745,0.9190354,0.92096907,0.93447286,0.9573975,0.9505323,0.9300368,0.9326859,0.8490403,0.9507799,0.87072384,0.93417716,0.9344167,0.9332988,0.85709196,0.9210936,0.9389797,0.85050714,0.9639844,0.9298292,0.91357017,0.9075773,0.89789027
Claude 2,0.9378893,0.9385348,0.9591186,0.94098854,0.97051674,0.9716894,1.0000001,0.9781145,0.9648632,0.96113026,0.98533124,0.9598685,0.93979585,0.8119167,0.96315885,0.9748177,0.9666768,0.9183255,0.94369256,0.95020765,0.9762929,0.9679657,0.99049556,0.98510283,0.982032,0.97960037,0.98435605,0.9506175,0.967911,0.9783176,0.9807831,0.9658085,0.98076195,0.9208151,0.9708716,0.9472239,0.89072764,0.9470908,0.9728465,0.9445539,0.9615962,0.8579017,0.84099734,0.8750912,0.8649861,0.9501174,0.9845107,0.97911555,0.9664862,0.9823555,0.98119324,0.9836942,0.9809847,0.9814504,0.9597276,0.9626453,0.9436038,0.9377911,0.93440515,0.9266852,0.9613598,0.9830275,0.9800968,0.95182806,0.95910835,0.895277,0.95943934,0.90434706,0.9661128,0.96562517,0.9652999,0.902518,0.949307,0.9619193,0.8840608,0.9845309,0.96010137,0.9491374,0.9349289,0.9303631
Claude 3,0.9354537,0.9451083,0.9529037,0.9497263,0.9631248,0.9452573,0.9781145,0.99999946,0.9694235,0.9849,0.9874947,0.9826988,0.96700674,0.8223633,0.9883546,0.9848296,0.978664,0.9248801,0.93124765,0.94498634,0.97059196,0.98283255,0.9847947,0.9891324,0.98197013,0.9912782,0.98540914,0.98076135,0.9626544,0.984503,0.97918755,0.9886478,0.97671103,0.9401476,0.9794424,0.9615201,0.903513,0.95702523,0.9658365,0.94471866,0.9478297,0.86750966,0.8571179,0.8736464,0.8785821,0.9522529,0.97846925,0.9795363,0.9661608,0.9790808,0.98218304,0.9849015,0.98485655,0.98995197,0.9757904,0.98078704,0.969064,0.9347733,0.94352543,0.92943525,0.971384,0.98627937,0.98476285,0.945808,0.96908426,0.92424434,0.94529366,0.90659326,0.9799791,0.96941257,0.98254496,0.93427235,0.9584998,0.96618956,0.88911706,0.97884405,0.9848647,0.9818889,0.96352583,0.96923625
Claude 3 Opus,0.92322004,0.91042244,0.92963785,0.92256874,0.95575255,0.9296681,0.9648632,0.9694235,1.0000001,0.942386,0.9750724,0.93945533,0.92135537,0.7677716,0.93992734,0.95277804,0.9406348,0.895101,0.912416,0.93182534,0.9566559,0.9429058,0.96818507,0.9631303,0.9722357,0.9601978,0.9707689,0.9354509,0.9500039,0.95982975,0.97584546,0.9440794,0.96085095,0.9149476,0.95000756,0.92085344,0.8734433,0.9238291,0.9633714,0.9204705,0.94473433,0.8400456,0.821373,0.8457421,0.84573895,0.9221416,0.96558124,0.95919245,0.94860625,0.96038246,0.9583498,0.96621823,0.96103215,0.96586376,0.95042443,0.93902206,0.9186418,0.91853374,0.9051922,0.8945372,0.94563824,0.9661164,0.9607078,0.935433,0.95735884,0.8814883,0.9486286,0.87023926,0.9491185,0.95324326,0.9443721,0.87817466,0.92848283,0.9488942,0.87006754,0.9608087,0.9471376,0.93403035,0.9305724,0.9102983
Claude 3.5,0.9309254,0.9403181,0.9452552,0.93847334,0.95244694,0.92733574,0.96113026,0.9849,0.942386,0.99999964,0.9723492,0.98341805,0.97593457,0.845345,0.98843116,0.9742291,0.97162193,0.9282732,0.92677295,0.93562263,0.9586575,0.9853269,0.97149336,0.9853468,0.965527,0.99108016,0.97476906,0.9852089,0.9605699,0.9844189,0.96184444,0.9932896,0.9642693,0.9413031,0.977849,0.9563232,0.9261509,0.9613466,0.94778705,0.92702234,0.93068635,0.9027186,0.8993149,0.88861996,0.9095608,0.95129603,0.9688769,0.97253466,0.9581796,0.97155726,0.97482514,0.9723718,0.9804523,0.98414415,0.97941095,0.98476726,0.9777011,0.93022746,0.939408,0.91771084,0.9637213,0.9754498,0.98176306,0.9306673,0.95357007,0.93154705,0.92664224,0.89775056,0.98074853,0.96958166,0.9890968,0.93718874,0.95163375,0.95374686,0.9016202,0.97194177,0.97435504,0.9831354,0.9484253,0.9709295
